,proposal_id,casuistic,num_addresses,total_amount_group,total_amount,percentage
0,22,Did not vote,10557,27401161.650199,31296407.163865,87.553697479
1,22,Voted,1281,3895245.513666,31296407.163865,12.446302521
0,180,Voted,33048,10823335.195892,94791872.531755,11.417999146
1,180,Did not vote,111592,83968537.335863,94791872.531755,88.582000854
0,249,Voted,18759,9506431.951407,108877345.983541,8.731322265
1,249,Did not vote,188215,99370914.032134,108877345.983541,91.268677735
0,250,Voted,17997,9412565.751969,109093791.406714,8.627957311
1,250,Did not vote,189871,99681225.654745,109093791.406714,91.372042689
0,232,Voted,21609,7920009.889357,103989990.113898,7.616127168
1,232,Did not vote,179888,96069980.224541,103989990.113898,92.383872832
0,321,Did not vote,227403,155418499.805926,163100053.786347,95.290281148
1,321,Voted,15350,7681553.980421,163100053.786347,4.709718852
0,23,Did not vote,11106,27349808.534142,32349440.80957,84.544919015
1,23,Voted,983,4999632.275428,32349440.80957,15.455080985
0,375,Voted,21407,8110077.775606,182125610.516752,4.453013364
1,375,Did not vote,247412,174032314.741146,182125610.516752,95.556201156
0,390,Voted,22990,9172467.958602,175784088.136912,5.218030856
1,390,Did not vote,248272,166611620.17831,175784088.136912,94.781969144
0,243,Did not vote,188014,99602759.983588,107368205.249513,92.767462912
1,243,Voted,15688,7765445.265925,107368205.249513,7.232537088
0,134,Voted,6068,11118618.176977,86771268.799627,12.813709343
1,134,Did not vote,54394,75652650.62265,86771268.799627,87.186290657
0,307,Did not vote,220341,140076561.975883,153159347.058624,91.458056375
1,307,Voted,12591,13082785.082741,153159347.058624,8.541943625
0,153,Voted,11127,8058163.973348,93486414.34774,8.619609629
1,153,Did not vote,77677,85428250.374392,93486414.34774,91.380390371
0,54,Voted,1849,7600837.967555,48884214.909027,15.548655086
1,54,Did not vote,21382,41283376.941472,48884214.909027,84.451344914
0,76,Did not vote,30107,58463691.677253,62016904.73325,94.270573368
1,76,Voted,953,3553213.055997,62016904.73325,5.729426632
0,192,Did not vote,124811,80460036.684912,94822707.205752,84.853131761
1,192,Voted,34500,14362670.52084,94822707.205752,15.146868239
0,358,Did not vote,244333,176517806.625235,184545224.188206,95.650162393
1,358,Voted,20606,8027417.562971,184545224.188206,4.349837607
0,141,Voted,10226,11805354.65828,88972046.986115,13.268610826
1,141,Did not vote,61527,77166692.327835,88972046.986115,86.731389174
0,415,Did not vote,278761,175739245.886078,186918275.135452,94.019295737
1,415,Voted,11369,11179229.249374,186918275.135452,5.980811262
0,413,Did not vote,254736,178204068.447313,186256471.269711,95.676712456
1,413,Voted,35160,8052602.822398,186256471.269711,4.323394923
0,113,Voted,3059,6069915.089581,75591406.512673,8.029900976
1,113,Did not vote,35953,69521491.423092,75591406.512673,91.970099024
0,150,Did not vote,69506,83418554.009784,93001094.423602,89.696314357
1,150,Voted,14197,9582540.413818,93001094.423602,10.303685643
0,64,Voted,2360,8444548.244722,57375655.461645,14.717998734
1,64,Did not vote,24575,48931107.216923,57375655.461645,85.282001266
0,431,Did not vote,271936,180427129.218006,186544422.12766,96.720731266
1,431,Voted,44501,6117292.909654,186544422.12766,3.279268734
0,407,Did not vote,254121,177010769.217597,184943710.038126,95.71061875
1,407,Voted,22014,7932940.820529,184943710.038126,4.28938125
0,95,Did not vote,32805,56839479.686496,66807818.436939,85.079083581
1,95,Voted,2142,9968338.750443,66807818.436939,14.920916419
0,101,Voted,2639,7205182.017686,67635704.674176,10.652926664
1,101,Did not vote,33089,60430522.65649,67635704.674176,89.347073336
0,115,Voted,3776,7498147.940423,76510420.658068,9.800165619
1,115,Did not vote,36683,69012272.717645,76510420.658068,90.199834381
0,326,Did not vote,232958,157926922.049464,166623861.262561,94.780495934
1,326,Voted,17644,8696939.213097,166623861.262561,5.219504066
0,195,Did not vote,127705,84836184.091246,95000513.436398,89.300763777
1,195,Voted,32524,10164329.345152,95000513.436398,10.699236223
0,208,Did not vote,149616,79495667.1501841,93610236.99449,84.92198044
1,208,Voted,39541,14114569.844306,93610236.99449,15.07801956
0,245,Voted,17584,8952202.370094,107924697.796604,8.294859798
1,245,Did not vote,186424,98972495.42651,107924697.796604,91.705140202
0,142,Did not vote,64018,81007216.834093,92030751.002159,88.021901323
1,142,Voted,10264,11023534.168066,92030751.002159,11.978098677
0,169,Did not vote,100148,84174824.629178,94532913.160486,89.042875984
1,169,Voted,21849,10358088.531308,94532913.160486,10.957124016
0,424,Voted,8095,7929748.3634,187910714.298109,4.219955415
1,424,Did not vote,283867,179982067.334709,187910714.298109,95.780630714
0,240,Did not vote,187396,98677438.336946,107368205.249513,91.905641999
1,240,Voted,16306,8690766.912567,107368205.249513,8.094358001
0,306,Voted,3821,5485615.479765,153159347.058624,3.581639374
1,306,Did not vote,229111,147673731.578859,153159347.058624,96.418360626
0,317,Did not vote,222947,151130577.146768,160395376.652595,94.223773965
1,317,Voted,13702,9289972.505827,160395376.652595,5.791920378
0,91,Did not vote,32725,61864391.3837,66596883.536708,92.893823402
1,91,Voted,1544,4732492.153008,66596883.536708,7.106176598
0,359,Voted,21245,7857955.380185,185238300.056703,4.242079191
1,359,Did not vote,243921,177380344.676518,185238300.056703,95.757920809
0,388,Voted,23302,9751678.227536,176141167.000822,5.536285693
1,388,Did not vote,247680,166389488.773286,176141167.000822,94.463714307
0,138,Did not vote,58905,73563032.961963,88531964.754854,83.092059648
1,138,Voted,10075,14968931.792891,88531964.754854,16.907940352
0,108,Voted,2903,10104192.561729,69552606.001675,14.527410463
1,108,Did not vote,34001,59448413.439946,69552606.001675,85.472589537
0,51,Did not vote,20968,41600445.625097,48546842.589294,85.691351705
1,51,Voted,1885,6946396.964197,48546842.589294,14.308648295
0,408,Voted,10324,8035237.259404,186002255.508753,4.319967646
1,408,Did not vote,266173,177967018.249349,186002255.508753,95.680032354
0,258,Voted,31408,8635925.539302,114907829.955954,7.515524001
1,258,Did not vote,181470,106271904.416652,114907829.955954,92.484475999
0,414,Voted,33669,11296386.575024,186918275.135452,6.04348963
1,414,Did not vote,256461,175622088.560428,186918275.135452,93.956617368
0,293,Voted,11406,9695669.418527,150186213.042605,6.455765294
1,293,Did not vote,217451,140490543.624078,150186213.042605,93.544234706
0,403,Did not vote,253524,175386424.885917,183543108.459718,95.555984835
1,403,Voted,21780,8156683.573801,183543108.459718,4.444015165
0,277,Voted,19414,12272717.823985,140021205.937885,8.764899389
1,277,Did not vote,205169,127748488.1139,140021205.937885,91.235100611
0,44,Did not vote,17507,39720817.094787,44738588.867239,88.784242196
1,44,Voted,1721,5017771.772452,44738588.867239,11.215757804
0,60,Did not vote,24243,45809392.733553,52451231.162964,87.337116247
1,60,Voted,1296,6641838.429411,52451231.162964,12.662883753
